index,gamma,rho_obs,z,mu_T,rho_N,residual,ratio,spacing
30,139.736208952121387,0.493679432549,1.3663250734,0.5953888433,0.293931226309,0.199748206240,1.6795746364,1.620166897588
31,141.123707404021133,0.495251953374,1.3706772390,0.5961819838,0.295260292022,0.199991661352,1.6773401868,1.387498451900
32,143.111845807620625,0.497478467344,1.3768394197,0.5972998655,0.297143821657,0.200334645687,1.6742009461,1.988138403599
33,153.024693811198887,0.508137526323,1.4063398172,0.6025698509,0.306188353454,0.201949172869,1.6595586363,9.912848003578
34,156.112909294237880,0.511317476646,1.4151407629,0.6041163768,0.308895261393,0.202422215253,1.6553101991,3.088215483039
35,157.597591817594065,0.512823937704,1.4193100991,0.6048449764,0.310178982512,0.202644955193,1.6533162033,1.484682523356
36,158.849988171420506,0.514083711036,1.4227966934,0.6054522815,0.311253155708,0.202830555328,1.6516578277,1.252396353826
37,161.188964137596031,0.516410091698,1.4292352687,0.6065690489,0.313238378182,0.203171713516,1.6486169246,2.338975966176
38,163.030709687181997,0.518218285862,1.4342396924,0.6074328582,0.314782814571,0.203435471291,1.6462724834,1.841745549586
39,169.094515415568821,0.524030502687,1.4503257941,0.6101848358,0.319755466211,0.204275036477,1.6388476760,6.063805728387
40,169.911976479411692,0.524798058615,1.4524501097,0.6105454777,0.320413081397,0.204384977218,1.6378796282,0.817461063843
41,173.411536519591550,0.528042762512,1.4614302697,0.6120629362,0.323195403648,0.204847358865,1.6338189113,3.499560040180
42,174.754191523365733,0.529270288502,1.4648276151,0.6126340442,0.324248997299,0.205021291203,1.6322958372,1.342655003774
43,176.441434297710430,0.530799550680,1.4690600564,0.6133432685,0.325562331313,0.205237219367,1.6304083723,1.687242774345
44,178.377407776099972,0.532536340106,1.4738668577,0.6141457030,0.327054904950,0.205481435156,1.6282781027,1.935973478390
45,179.916484020257002,0.533903670693,1.4776511314,0.6147751808,0.328230725690,0.205672945003,1.6266108835,1.539076244157
46,182.207078484366463,0.535917150795,1.4832237118,0.6156985249,0.329963399234,0.205953751561,1.6241715052,2.290594464109
47,187.228922583501856,0.540244290233,1.4951996596,0.6176684793,0.333691869206,0.206552421027,1.6189914711,5.021844099135
48,189.416158656016933,0.542092785611,1.5003156224,0.6185040847,0.335286602179,0.206806183432,1.6168041970,2.187236072515
49,195.265396679529232,0.546933188730,1.5137120973,0.6206755518,0.339468058707,0.207465130023,1.6111477198,5.849238023512
50,196.876481840958320,0.548240948109,1.5173314995,0.6212581392,0.340599151249,0.207641796860,1.6096368593,1.611085161429
51,198.015309676251917,0.549158924049,1.5198721230,0.6216660526,0.341393460573,0.207765463477,1.6085806773,1.138827835294
52,201.264751943703800,0.551749467714,1.5270418054,0.6228126284,0.343636536180,0.208112931534,1.6056193379,3.249442267452
53,202.493594514140540,0.552718250032,1.5297230424,0.6232396893,0.344475950440,0.208242299592,1.6045191234,1.228842570437
54,204.189671803104545,0.554045772808,1.5333971425,0.6238233766,0.345626704802,0.208419068006,1.6030178372,1.696077288964
55,205.394697202163286,0.554982265100,1.5359890125,0.6242340854,0.346438846673,0.208543418427,1.6019631471,1.205025399059
56,207.906258887806217,0.556916605545,1.5413425632,0.6250796749,0.348117250727,0.208799354817,1.5997960583,2.511561685643
57,209.576509716856265,0.558190095681,1.5448671206,0.6256343724,0.349222910190,0.208967185491,1.5983776533,1.670250829050
58,211.690862595365303,0.559787715434,1.5492887509,0.6263280139,0.350610728018,0.209176987416,1.5966074929,2.114352878509
59,213.347919359712677,0.561028685070,1.5527233034,0.6268650970,0.351689301104,0.209339383966,1.5952395575,1.657056764347
60,214.547044783491430,0.561920713508,1.5551921136,0.6272502404,0.352464902657,0.209455810851,1.5942600505,1.199125423779
